Model,Train R2 FD002,Train RMSE FD002,Test R2 FD002,Test RMSE FD002,Train R2 FD003,Train RMSE FD003,Test R2 FD003,Test RMSE FD003,Train R2 FD004,Train RMSE FD004,Test R2 FD004,Test RMSE FD004
CNNLSTMTransformerHybrid,0.815901207,18.89592,0.758590623,26.42336527,0.827782684,18.820875,0.771917477,19.76971582,0.859363513,17.147366,0.799721748,24.40073779
HybridTransformerLSTM,0.829434276,18.188147,0.758763131,26.41392268,0.696825195,24.971691,0.678609496,23.46772245,0.823676569,19.200098,0.761935146,26.60318925
Transformer,0.70425407,23.949804,0.649717345,31.82880817,0.692617768,25.14437,0.640958664,24.80428133,0.782658151,21.316706,0.761645184,26.6193856
CNNLSTM,-5.17E-05,44.040657,-0.018998058,54.287237,-0.00088213,45.372513,-2.52E-05,41.39614498,0.110571217,43.122505,0.083185094,52.20677845
StochasticLSTM,0.888023538,14.736894,0.678287362,30.50318026,-0.040967688,46.272182,-0.08297903,43.07888423,-0.029438031,46.392582,-0.071028841,56.42695892
MultiSensorLSTM,0.85326018,16.870058,0.692083019,29.84199688,0.765101354,21.980707,0.744268486,20.9337266,0.899693122,14.481507,0.719966358,28.85301268
StochasticMultiAttentionLSTM,0.855244352,16.755613,0.766126245,26.00769149,0.935729813,11.497573,0.788900539,19.01945137,0.820360023,19.379827,0.765575564,26.39900156
LSTM,0.843136141,17.44231,0.807428831,23.5997115,0.854379022,17.306664,0.885218862,14.02457426,0.935318448,11.6289,0.821191968,23.05576698
Batch Size,128,,,,,,,,,,,
Sequence Length,50,,,,,,,,,,,
