dataset,sensor,variance,monotonicity,snr
FD001,s_1,2.60E-28,0,0
FD001,s_2,0.216453464,0.036342242,0.798526231
FD001,s_3,33.80073686,0.033480791,0.79474386
FD001,s_4,66.95408989,0.035525935,0.798767651
FD001,s_5,3.08E-30,0,0
FD001,s_6,1.77E-06,0.000203108,0.132457503
FD001,s_7,0.632599959,0.044566717,0.795111038
FD001,s_8,0.0034417,0.034418752,0.791460919
FD001,s_9,328.0434672,0.045034423,0.797651305
FD001,s_10,7.78E-32,0,0
FD001,s_11,0.057611781,0.038021871,0.797478735
FD001,s_12,0.43178846,0.036842051,0.799404255
FD001,s_13,0.003525684,0.029606579,0.79215224
FD001,s_14,224.8961726,0.052408812,0.802023392
FD001,s_15,0.001201448,0.038052016,0.794337047
FD001,s_16,3.96E-35,0,0
FD001,s_17,2.123304471,0.022355519,0.758232065
FD001,s_18,0,0,0
FD001,s_19,0,0,0
FD001,s_20,0.027992917,0.034326153,0.798027134
FD001,s_21,0.010023105,0.036174671,0.800519688
FD002,s_1,698.1323663,0.022393301,0.776258072
FD002,s_2,1394.032561,0.03209267,0.769834264
FD002,s_3,11252.91938,0.033737412,0.788572802
FD002,s_4,14221.07116,0.033682406,0.783069639
FD002,s_5,13.08990256,0.024160707,0.785444116
FD002,s_6,29.57371561,0.024923369,0.777028261
FD002,s_7,21366.73203,0.03222954,0.764764211
FD002,s_8,21127.28178,0.031100475,0.712176388
FD002,s_9,112878.622,0.032510951,0.784605656
FD002,s_10,0.016281257,0.021309941,0.751430075
FD002,s_11,10.4650233,0.031703669,0.766734571
FD002,s_12,18993.89008,0.031247564,0.764552632
FD002,s_13,16426.62439,0.033796096,0.50108952
FD002,s_14,7087.418659,0.032188931,0.676843242
FD002,s_15,0.562123732,0.034624062,0.715270387
FD002,s_16,2.22E-05,0.002402631,0.662517693
FD002,s_17,772.0409048,0.030171247,0.787793273
FD002,s_18,21160.23334,0.023626195,0.711912906
FD002,s_19,28.8165036,0.001135163,0.50049549
FD002,s_20,97.61409815,0.030840164,0.771212036
FD002,s_21,35.1405074,0.033017107,0.771224
FD003,s_1,1.17E-27,0,0
FD003,s_2,0.210445455,0.031973134,0.800190974
FD003,s_3,37.47372825,0.033111637,0.798257857
FD003,s_4,70.40410057,0.030240126,0.79737755
FD003,s_5,3.33E-30,0,0
FD003,s_6,2.37E-05,0.001348862,0.293634301
FD003,s_7,6.399312464,0.04484319,0.79533575
FD003,s_8,0.01580644,0.036004357,0.754178864
FD003,s_9,305.3349722,0.038088648,0.798978526
FD003,s_10,8.77E-06,0.002997821,0.095682029
FD003,s_11,0.06655535,0.032680904,0.796169527
FD003,s_12,5.7984797,0.051085271,0.791530208
FD003,s_13,0.015794075,0.03115203,0.758616771
FD003,s_14,197.4205511,0.053235028,0.793240849
FD003,s_15,0.001580013,0.032600403,0.798430235
FD003,s_16,4.11E-35,0,0
FD003,s_17,2.441429025,0.019008084,0.756219419
FD003,s_18,0,0,0
FD003,s_19,0,0,0
FD003,s_20,0.030701715,0.03372276,0.798340062
FD003,s_21,0.010908269,0.024922384,0.796033372
FD004,s_1,701.5293895,0.022564529,0.777183538
FD004,s_2,1399.420189,0.03137164,0.770419396
FD004,s_3,11299.30121,0.030093336,0.789361936
FD004,s_4,14271.39396,0.030034949,0.783301239
FD004,s_5,13.17609158,0.024492095,0.786276319
FD004,s_6,29.75358215,0.025044126,0.777623509
FD004,s_7,21624.90534,0.034055304,0.765201181
FD004,s_8,21172.99758,0.027837142,0.712876998
FD004,s_9,113681.0174,0.027379684,0.785299264
FD004,s_10,0.016321073,0.019793428,0.751541006
FD004,s_11,10.52548513,0.030532526,0.767008856
FD004,s_12,19222.56575,0.03020637,0.764983661
FD004,s_13,16464.60198,0.032834135,0.500768106
FD004,s_14,7244.776926,0.031125667,0.676563348
FD004,s_15,0.561742073,0.029913244,0.715408899
FD004,s_16,2.20E-05,0.001939263,0.659782071
FD004,s_17,775.2439693,0.027740852,0.788506925
FD004,s_18,21207.6772,0.022114125,0.712651513
FD004,s_19,28.88252565,0.000779983,0.500277487
FD004,s_20,98.92056427,0.033695617,0.771580604
FD004,s_21,35.62297501,0.031929671,0.771593634
